step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
190,CASH_OUT,10000000.0,C950353738,10000000.0,0.0,C1401949177,2876.18,10002876.18,1,0
509,TRANSFER,23413.67,C2101272000,23413.67,0.0,C255541655,0.0,0.0,1,0
146,CASH_OUT,32151.02,C1660793552,0.0,0.0,C1564787278,5737094.69,5769245.71,0,0
451,PAYMENT,1869.57,C1409250359,72933.0,71063.43,M320398572,0.0,0.0,0,0
41,CASH_IN,239440.72,C497134674,4135551.35,4374992.07,C1892155291,1195862.05,956421.33,0,0
323,CASH_OUT,93039.24,C671718428,33273.0,0.0,C1903055179,47394.31,140433.54,0,0
254,CASH_OUT,6772.38,C2053317405,29792.0,23019.62,C402465615,4055336.71,4062109.09,0,0
17,CASH_OUT,30101.79,C475447352,0.0,0.0,C1927645688,45598.5,75700.29,0,0
161,PAYMENT,37322.15,C1499441426,16902.0,0.0,M2116270368,0.0,0.0,0,0
281,CASH_IN,68188.01,C691694198,6620919.13,6689107.14,C1681956389,1479766.18,1411578.17,0,0
141,CASH_OUT,311463.02,C1979070814,0.0,0.0,C1994035663,6245582.37,6557045.39,0,0
19,CASH_OUT,223324.29,C108368602,541.0,0.0,C434581151,0.0,223324.29,0,0
38,CASH_OUT,228753.0,C166174852,0.0,0.0,C1486720827,737861.81,966614.81,0,0
510,CASH_OUT,550231.35,C1985542113,550231.35,0.0,C121844862,919044.92,1469276.27,1,0
137,CASH_IN,26240.63,C1119159355,6380325.61,6406566.24,C1888403414,466677.67,440437.04,0,0
259,CASH_OUT,43634.38,C1673726473,126331.0,82696.62,C970396071,2389134.97,2432769.35,0,0
135,PAYMENT,24627.01,C1974204419,0.0,0.0,M319764344,0.0,0.0,0,0
442,CASH_OUT,9065.34,C1906628282,9065.34,0.0,C120759853,0.0,9065.34,1,0
262,PAYMENT,5903.84,C319975206,0.0,0.0,M1861442855,0.0,0.0,0,0
599,PAYMENT,6513.17,C528378730,827.0,0.0,M1024135216,0.0,0.0,0,0
106,CASH_OUT,1409248.64,C1173095546,1409248.64,0.0,C1935607545,914125.46,2323374.1,1,0
217,CASH_IN,109897.38,C498552071,6094050.81,6203948.19,C961629914,1818311.61,1708414.23,0,0
129,TRANSFER,1267080.44,C1258193395,398459.68,0.0,C1908859809,1501675.9,2768756.34,0,0
132,CASH_OUT,567027.28,C1158231561,696.0,0.0,C1695209254,71172.46,638199.74,0,0
402,CASH_OUT,35566.79,C683623354,12333.0,0.0,C354442212,0.0,35566.79,0,0
266,CASH_OUT,5494862.93,C1802007531,5494862.93,0.0,C1174309480,0.0,5494862.93,1,0
322,PAYMENT,40071.72,C722415195,49526.0,9454.28,M1368300341,0.0,0.0,0,0
69,CASH_OUT,19776.71,C1994183389,19776.71,0.0,C366927459,1138941.53,1158718.24,1,0
298,CASH_IN,179321.9,C200623669,0.0,179321.9,C826104864,416168.09,236846.19,0,0
205,CASH_OUT,81362.84,C30761788,21004.0,0.0,C1977674438,871575.55,952938.38,0,0
302,PAYMENT,10855.76,C166969314,0.0,0.0,M1565385844,0.0,0.0,0,0
20,PAYMENT,6993.64,C1514921754,40845.0,33851.36,M1785070343,0.0,0.0,0,0
404,PAYMENT,43167.43,C346320937,0.0,0.0,M1101488809,0.0,0.0,0,0
138,CASH_OUT,319554.68,C1843954528,0.0,0.0,C463535681,646461.45,1117205.08,0,0
687,PAYMENT,424.12,C1490798259,0.0,0.0,M605679561,0.0,0.0,0,0
21,PAYMENT,1605.53,C1395872908,45868.0,44262.47,M1777782495,0.0,0.0,0,0
36,CASH_IN,407806.45,C1994012520,283150.0,690956.45,C1248764242,818912.66,411106.2,0,0
395,PAYMENT,215.1,C681309223,19617.0,19401.9,M849775306,0.0,0.0,0,0
351,PAYMENT,1210.45,C589982362,0.0,0.0,M48719234,0.0,0.0,0,0
681,CASH_IN,37800.93,C2081436148,15314.0,53114.93,C1953832248,312237.41,274436.49,0,0
381,CASH_IN,56528.47,C1513528605,0.0,56528.47,C2111713097,2134190.34,2077661.87,0,0
136,CASH_IN,12461.8,C1992200280,9870467.18,9882928.98,C731493474,590748.96,633958.58,0,0
186,CASH_OUT,179321.12,C1705629934,179321.12,0.0,C848134520,0.0,179321.12,1,0
401,CASH_OUT,144640.32,C1059880472,0.0,0.0,C480787248,2746932.88,2891573.2,0,0
489,CASH_OUT,101081.12,C1510063116,101081.12,0.0,C772067797,1031759.71,1132840.83,1,0
280,PAYMENT,10869.99,C1021045639,0.0,0.0,M1510439555,0.0,0.0,0,0
400,CASH_IN,85430.65,C579587949,37757.0,123187.65,C802668212,1290962.43,1205531.78,0,0
251,PAYMENT,2375.67,C1903742248,0.0,0.0,M1293843563,0.0,0.0,0,0
356,PAYMENT,1547.74,C1818969961,10878.0,9330.26,M1523237957,0.0,0.0,0,0
186,CASH_OUT,138293.37,C1925602057,10593.0,0.0,C308751824,12164.0,123885.72,0,0
454,TRANSFER,404185.57,C1287154806,404185.57,0.0,C351712967,0.0,0.0,1,0
357,CASH_IN,571388.55,C1759304649,735183.63,1306572.18,C1368361600,82718844.44,82147455.89,0,0
137,PAYMENT,40417.69,C2053849397,260951.0,220533.31,M482315540,0.0,0.0,0,0
115,CASH_OUT,1844357.26,C60777377,1844357.26,0.0,C92525321,3549005.46,5393362.71,1,0
347,CASH_IN,216780.81,C728636611,2200959.98,2417740.79,C970311059,367567.85,150787.03,0,0
279,CASH_OUT,359984.54,C1138026844,10869.0,0.0,C774334385,0.0,359984.54,0,0
12,CASH_IN,141295.81,C1678397756,4954307.64,5095603.45,C578599557,1307335.15,2583211.11,0,0
606,CASH_OUT,1026684.46,C1486861052,1026684.46,0.0,C638473168,59926.13,1086610.59,1,0
378,PAYMENT,18627.99,C203099059,11288.0,0.0,M1986081341,0.0,0.0,0,0
514,CASH_IN,20190.91,C1085455105,9156629.79,9176820.7,C1468639537,221828.68,201637.77,0,0
259,PAYMENT,14122.64,C4320514,278710.0,264587.36,M1528585515,0.0,0.0,0,0
378,PAYMENT,3906.29,C1961290451,20266.0,16359.71,M1796403403,0.0,0.0,0,0
282,CASH_OUT,16296.46,C1171189055,16296.46,0.0,C1751518274,0.0,16296.46,1,0
399,PAYMENT,3623.34,C1877153157,12166.0,8542.66,M54827460,0.0,0.0,0,0
354,PAYMENT,29609.17,C1739211767,0.0,0.0,M1468117606,0.0,0.0,0,0
678,CASH_OUT,194876.96,C1352461400,194876.96,0.0,C1257290689,148344.11,343221.07,1,0
305,CASH_OUT,406503.02,C78706648,68478.0,0.0,C1460029956,931590.12,1338093.13,0,0
327,CASH_OUT,113694.43,C1318485133,0.0,0.0,C586602375,275812.76,389507.19,0,0
350,TRANSFER,640648.06,C1231531045,640648.06,0.0,C1282254449,0.0,0.0,1,0
345,CASH_OUT,77935.64,C933178496,5693.0,0.0,C2044135150,0.0,77935.64,0,0
205,CASH_IN,208250.32,C914890071,22763.55,231013.87,C1001882344,1975980.63,1767730.31,0,0
138,CASH_OUT,41745.12,C602798058,0.0,0.0,C1771962785,1359714.08,1401459.2,0,0
630,TRANSFER,17484.29,C1843342943,17484.29,0.0,C1534517303,0.0,0.0,1,0
402,CASH_OUT,4050.89,C412734427,0.0,0.0,C1380574656,47502.09,51552.97,0,0
378,PAYMENT,14607.77,C1677141000,19912.0,5304.23,M2118264189,0.0,0.0,0,0
323,CASH_OUT,181600.79,C520115406,0.0,0.0,C236539936,3699458.57,3881059.37,0,0
394,CASH_IN,371116.36,C2087234657,825141.0,1196257.36,C1880122786,174478.96,0.0,0,0
181,TRANSFER,244163.37,C166030389,0.0,0.0,C1115373254,521420.02,765583.39,0,0
205,PAYMENT,810.36,C131031006,21055.0,20244.64,M1818470349,0.0,0.0,0,0
338,CASH_OUT,143340.15,C1451066476,143340.15,0.0,C91478894,459383.83,602723.98,1,0
457,TRANSFER,145482.09,C1089341002,145482.09,0.0,C1168895160,0.0,0.0,1,0
640,PAYMENT,4043.49,C797192987,0.0,0.0,M2127085426,0.0,0.0,0,0
362,CASH_OUT,1936403.59,C796529058,1936403.59,0.0,C338861738,10709890.51,12646294.1,1,0
371,CASH_OUT,379104.77,C430839738,288994.0,0.0,C1726249995,1085924.98,1465029.74,0,0
237,CASH_OUT,101781.96,C1560816731,69507.0,0.0,C1778111341,0.0,101781.96,0,0
105,CASH_OUT,35496.47,C1303610178,35496.47,0.0,C1251609442,123871.82,159368.28,1,0
231,PAYMENT,21521.3,C764131571,0.0,0.0,M53197359,0.0,0.0,0,0
656,CASH_IN,61425.0,C609557394,6451954.36,6513379.37,C1482095824,6916590.66,6855165.66,0,0
14,CASH_OUT,101004.67,C846046686,0.0,0.0,C90133972,1684917.91,1762303.91,0,0
324,TRANSFER,362837.15,C691233312,362837.15,0.0,C834545584,0.0,0.0,1,0
394,CASH_IN,140734.29,C1968194991,33917.0,174651.29,C2142688708,1168770.31,1028036.02,0,0
203,CASH_OUT,466580.69,C1820999886,466580.69,0.0,C838394568,775534.24,1242114.93,1,0
330,CASH_OUT,89022.69,C436191306,40112.0,0.0,C1313212925,8218221.72,8307244.41,0,0
184,TRANSFER,1190237.45,C1019872573,0.0,0.0,C444002712,3674218.03,4864455.48,0,0
43,CASH_IN,7195.3,C971797333,4560938.13,4568133.43,C169321574,2374598.8,2367403.5,0,0
362,TRANSFER,7677120.59,C2068656014,7677120.59,0.0,C1266729216,0.0,0.0,1,0
157,DEBIT,860.27,C1574259707,12294.0,11433.73,C50026098,868230.99,869091.26,0,0
184,PAYMENT,18073.29,C1483289820,107447.0,89373.71,M754524086,0.0,0.0,0,0
380,TRANSFER,425069.57,C1737234092,0.0,0.0,C1555467546,998535.94,1423605.51,0,0
20,CASH_OUT,24473.13,C788281899,0.0,0.0,C1600411324,749534.64,774007.76,0,0
231,TRANSFER,517164.14,C281373075,0.0,0.0,C852883723,1240384.45,1757548.59,0,0
286,CASH_IN,127428.05,C1687950679,21495.0,148923.05,C1172759093,2380587.34,2253159.3,0,0
94,PAYMENT,8286.88,C414220271,0.0,0.0,M488346261,0.0,0.0,0,0
499,TRANSFER,116530.2,C427871642,116530.2,0.0,C590191709,0.0,0.0,1,0
161,CASH_OUT,402215.46,C336185258,24588.0,0.0,C1390694413,0.0,402215.46,0,0
351,TRANSFER,178344.25,C1280852753,178344.25,0.0,C461887553,0.0,0.0,1,0
664,CASH_OUT,4651.43,C59743655,4651.43,0.0,C1943832045,4812422.91,4817074.35,1,0
179,CASH_OUT,23066.54,C1111802324,25071.0,2004.46,C2072827392,972759.0,8206657.5,0,0
165,PAYMENT,5370.17,C613370445,0.0,0.0,M1913595994,0.0,0.0,0,0
9,PAYMENT,2628.75,C808228393,0.0,0.0,M1056462747,0.0,0.0,0,0
487,TRANSFER,1035401.2,C863742411,1035401.2,0.0,C1644420879,0.0,0.0,1,0
684,PAYMENT,25416.68,C158790522,0.0,0.0,M1494749992,0.0,0.0,0,0
698,TRANSFER,1242226.78,C2110278215,1242226.78,0.0,C749611151,0.0,0.0,1,0
394,CASH_IN,203033.27,C1046906469,22560612.97,22763646.24,C708177505,1053724.07,850690.8,0,0
13,CASH_IN,340911.96,C1742028109,51630.0,392541.96,C475338087,257638.22,0.0,0,0
196,CASH_OUT,288148.22,C1539629881,288148.22,0.0,C920916112,257719.2,545867.42,1,0
282,TRANSFER,371669.59,C686471933,371669.59,0.0,C173311273,0.0,0.0,1,0
138,CASH_IN,36012.89,C663096821,10207853.13,10243866.02,C584437727,2746421.79,2710408.9,0,0
590,CASH_OUT,260567.47,C1750009482,0.0,0.0,C151761069,899799.5,1160366.97,0,0
42,PAYMENT,32942.03,C196208044,421496.64,388554.61,M750497225,0.0,0.0,0,0
325,CASH_OUT,185517.42,C634453697,230069.0,44551.58,C208397748,0.0,185517.42,0,0
105,CASH_OUT,40413.81,C209849944,40413.81,0.0,C580913459,0.0,40413.81,1,0
129,CASH_OUT,335403.18,C119894725,72840.0,0.0,C270421300,169950.6,505353.77,0,0
157,PAYMENT,5764.09,C1222051943,0.0,0.0,M706802665,0.0,0.0,0,0
582,CASH_OUT,181543.89,C1075053079,181543.89,0.0,C875621777,0.0,181543.89,1,0
93,TRANSFER,3723738.06,C1553979696,3723738.06,0.0,C537828065,0.0,0.0,1,0
377,CASH_OUT,503420.67,C1696816111,503420.67,0.0,C1280120239,417119.41,920540.09,1,0
351,PAYMENT,5995.43,C293937524,12900.82,6905.39,M1046699067,0.0,0.0,0,0
18,CASH_OUT,205574.79,C1789241828,0.0,0.0,C1035585513,2778351.46,2983926.25,0,0
694,PAYMENT,3193.12,C1639077489,3127.0,0.0,M1098884544,0.0,0.0,0,0
283,PAYMENT,5206.24,C1802746326,45661.0,40454.76,M1551908612,0.0,0.0,0,0
469,CASH_OUT,56123.96,C738058500,21474.0,0.0,C1660677820,3698895.49,3755019.45,0,0
116,TRANSFER,2694857.26,C2100014537,2694857.26,0.0,C973050515,0.0,0.0,1,0
228,CASH_IN,184354.62,C1664809488,9761246.38,9945601.0,C2076045321,635619.28,451264.66,0,0
181,PAYMENT,37951.24,C1601633136,17652.86,0.0,M182592372,0.0,0.0,0,0
143,TRANSFER,810599.16,C986104580,810599.16,0.0,C638622205,0.0,0.0,1,0
544,PAYMENT,49825.52,C1439800921,4488.61,0.0,M1153761837,0.0,0.0,0,0
233,CASH_IN,156401.36,C1679430826,1487562.69,1643964.06,C192375972,544427.59,388026.22,0,0
250,CASH_OUT,278256.53,C1614697831,61657.0,0.0,C717349203,0.0,278256.53,0,0
232,TRANSFER,435887.34,C1590061212,0.0,0.0,C1589935848,1923135.8,2359023.14,0,0
469,TRANSFER,876781.63,C349462974,0.0,0.0,C957503858,1326507.01,2203288.64,0,0
404,CASH_OUT,40359.75,C1580733517,40359.75,0.0,C1833873982,37684.35,78044.1,1,0
138,PAYMENT,28820.27,C417730847,0.0,0.0,M1465339442,0.0,0.0,0,0
131,PAYMENT,7926.4,C614569714,8542.0,615.6,M382221885,0.0,0.0,0,0
518,TRANSFER,242896.12,C494221581,242896.12,0.0,C1477702767,0.0,0.0,1,0
323,CASH_IN,140132.27,C575394246,90.0,140222.27,C1460608339,0.0,0.0,0,0
327,CASH_IN,10526.53,C1103186305,21149.0,31675.53,C287582976,1405541.89,1395015.36,0,0
133,CASH_IN,178477.75,C655055442,14755.0,193232.75,C1900062041,2486862.41,2308384.66,0,0
226,CASH_OUT,226827.4,C1899402991,59253.0,0.0,C1441122771,0.0,226827.4,0,0
258,CASH_IN,235289.87,C1647118071,2848.0,238137.87,C1251686742,9518241.17,9282951.3,0,0
350,CASH_IN,279579.02,C396020261,20956833.78,21236412.8,C1596766258,1058858.78,779279.76,0,0
271,CASH_OUT,5926745.36,C240557778,5926745.36,0.0,C340123117,2380392.38,8307137.74,1,0
69,CASH_OUT,2960254.17,C262990065,2960254.17,0.0,C1242379975,620822.89,3581077.07,1,0
279,TRANSFER,852831.22,C1796247427,20202.0,0.0,C19803186,0.0,852831.22,0,0
305,CASH_IN,147644.93,C1989648689,214865.0,362509.93,C821616770,1034842.76,887197.83,0,0
18,PAYMENT,913.26,C467171095,60499.71,59586.45,M2112905378,0.0,0.0,0,0
235,PAYMENT,6583.83,C361041536,0.0,0.0,M360166151,0.0,0.0,0,0
162,TRANSFER,410373.23,C533812079,0.0,0.0,C1275028501,1487033.61,2047289.4,0,0
497,TRANSFER,3695429.98,C1497936234,3695429.98,0.0,C305200409,0.0,0.0,1,0
522,TRANSFER,235315.8,C2028593054,0.0,0.0,C1257375589,896589.55,1131905.35,0,0
42,CASH_OUT,161837.85,C1503026484,31068.0,0.0,C1823410102,11515720.37,11677558.22,0,0
256,CASH_OUT,181111.15,C1844526551,51952.0,0.0,C503120767,306498.57,487609.72,0,0
36,TRANSFER,286727.7,C1420896121,0.0,0.0,C2025870943,430266.78,716994.47,0,0
330,PAYMENT,6902.64,C2074251054,0.0,0.0,M835781121,0.0,0.0,0,0
187,PAYMENT,20583.56,C328810247,15162.64,0.0,M1828033038,0.0,0.0,0,0
208,CASH_OUT,19611.11,C391325147,0.0,0.0,C1075795069,10169269.98,10620180.9,0,0
351,PAYMENT,21419.0,C1856573906,206865.67,185446.68,M650158999,0.0,0.0,0,0
356,CASH_OUT,22332.5,C2047291843,52484.0,30151.5,C749419443,0.0,22332.5,0,0
346,TRANSFER,325621.29,C1968689347,0.0,0.0,C1830998068,671487.97,997109.26,0,0
210,CASH_OUT,23610.85,C1790329459,23610.85,0.0,C409233491,212041.22,235652.07,1,0
594,CASH_OUT,1592602.27,C1309793082,1592602.27,0.0,C1658727792,561920.93,2154523.2,1,0
323,CASH_OUT,259523.96,C137268749,0.0,0.0,C1791618076,654176.0,913699.96,0,0
394,PAYMENT,7330.14,C1762717501,0.0,0.0,M990348621,0.0,0.0,0,0
520,CASH_OUT,58568.9,C1786936601,0.0,0.0,C1719323198,1225931.47,1284500.37,0,0
301,PAYMENT,3944.31,C228305311,593900.69,589956.38,M945292244,0.0,0.0,0,0
307,PAYMENT,13647.18,C1130780910,356383.0,342735.82,M956521336,0.0,0.0,0,0
308,CASH_OUT,91449.93,C516163919,21290.0,0.0,C877742745,582295.36,673745.29,0,0
190,CASH_IN,298596.94,C1402987958,19328795.18,19627392.13,C1595687985,440981.65,142384.7,0,0
210,CASH_OUT,18172.33,C1914836954,13758.0,0.0,C377043700,1002940.88,1030332.5,0,0
567,TRANSFER,1839972.36,C1811081989,1839972.36,0.0,C2017746701,0.0,0.0,1,0
319,CASH_OUT,1033878.67,C997616929,1033878.67,0.0,C1469065727,6177505.77,7211384.44,1,0
183,PAYMENT,1590.77,C473024796,115999.56,114408.79,M209504529,0.0,0.0,0,0
386,CASH_OUT,978362.97,C2043269100,978362.97,0.0,C702718253,123481.51,1101844.48,1,0
228,CASH_OUT,320069.16,C1080273231,59660.0,0.0,C1592936060,233129.64,553198.79,0,0
241,CASH_OUT,989966.55,C58682758,989966.55,0.0,C1485453615,0.0,989966.55,1,0
195,TRANSFER,594229.77,C1261111835,594229.77,0.0,C340862934,0.0,0.0,1,0
370,CASH_OUT,400956.22,C1958144608,33058.0,0.0,C2102913022,0.0,400956.22,0,0
184,CASH_OUT,84087.47,C861495502,535.0,0.0,C456719504,0.0,84087.47,0,0
327,TRANSFER,19840365.73,C881501479,0.0,0.0,C745025687,44873036.98,64713402.71,0,0
184,CASH_OUT,398138.55,C769288752,10114.0,0.0,C1665652580,3177992.4,3575877.75,0,0
306,PAYMENT,33504.85,C37899005,5923.0,0.0,M1671150493,0.0,0.0,0,0
327,CASH_OUT,87974.55,C651683521,11640.0,0.0,C1860223615,0.0,87974.55,0,0
19,CASH_IN,179295.18,C1940592032,1521491.25,1700786.43,C444245544,737337.05,558041.87,0,0
328,PAYMENT,13363.13,C1980347951,10953.0,0.0,M1713534012,0.0,0.0,0,0
261,PAYMENT,6715.09,C746169068,0.0,0.0,M446601503,0.0,0.0,0,0
184,PAYMENT,10215.57,C1012098823,22188.27,11972.7,M901165266,0.0,0.0,0,0
17,CASH_OUT,130629.06,C475348636,7870.0,0.0,C2125564909,44444.2,339785.93,0,0
664,TRANSFER,5652739.69,C1605555935,5652739.69,0.0,C348655001,0.0,0.0,1,0
18,CASH_OUT,204974.31,C1906715549,356.0,0.0,C1922152251,119137.84,324112.15,0,0
308,PAYMENT,21674.27,C1372400287,451628.0,429953.73,M1677116085,0.0,0.0,0,0
229,CASH_OUT,74389.21,C1632015537,362154.7,287765.49,C31360296,228726.83,303116.03,0,0
167,PAYMENT,7628.69,C1209631653,932.0,0.0,M643519021,0.0,0.0,0,0
